id,host_id,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,review_scores_rating,instant_bookable,super_host
44174317,355685671,0.0,1,1,Shinagawa Ku,35.61626,139.71129,Entire home/apt,4,Half-bath,1.0,2.0,9000.0,2,100.0,0,0
44183855,260536243,0.0,1,1,Sumida Ku,35.69867,139.79921,Shared room,3,2.5 shared baths,1.0,3.0,12214.0,4,100.0,1,0
44184412,269182185,26.0,1,1,Shinjuku Ku,35.70206,139.70543,Entire home/apt,2,1 bath,1.0,1.0,16251.0,0,,0,0
44188802,91758240,15.0,1,1,Adachi Ku,35.78356,139.76049,Entire home/apt,10,1 bath,5.0,10.0,10269.0,1,100.0,1,1
44195526,353009879,1.0,1,1,Shinjuku Ku,35.69067,139.71181,Private room,4,1 private bath,1.0,4.0,16100.0,12,95.0,1,1
44196011,150347035,19.0,1,1,Taito Ku,35.71535,139.79181,Entire home/apt,2,Half-bath,1.0,2.0,4501.0,14,97.0,1,1
44196346,150347035,19.0,1,1,Taito Ku,35.71464,139.79326,Entire home/apt,2,Half-bath,1.0,1.0,4501.0,9,93.0,1,1
44196505,150347035,19.0,1,1,Taito Ku,35.71574,139.79312,Entire home/apt,6,1 bath,1.0,6.0,7941.0,12,98.0,0,1
44197417,49124251,39.0,1,1,Taito Ku,35.7192,139.79257,Private room,2,1 private bath,1.0,,6999.0,0,,0,1
44197422,49124251,39.0,1,1,Taito Ku,35.71844,139.79404,Private room,2,1 private bath,1.0,0.0,6999.0,2,100.0,0,1
44197423,49124251,39.0,1,1,Taito Ku,35.71793,139.79424,Private room,2,1 private bath,1.0,0.0,6999.0,3,80.0,0,1
44198237,49124251,39.0,1,1,Taito Ku,35.71816,139.79305,Private room,2,1.5 baths,1.0,0.0,6999.0,1,100.0,0,1
44235597,356240777,16.0,1,1,Sumida Ku,35.70683,139.80098,Entire home/apt,6,1 bath,1.0,4.0,22286.0,4,100.0,1,1
44235706,63022186,0.0,1,1,Setagaya Ku,35.6614,139.66963,Entire home/apt,3,1 bath,1.0,1.0,8443.0,5,92.0,1,0
44235991,214544676,11.0,1,1,Kita Ku,35.78701,139.69922,Entire home/apt,3,1 bath,,2.0,8000.0,2,100.0,1,1
44236931,356240777,16.0,1,1,Sumida Ku,35.70638,139.79951,Entire home/apt,6,1 bath,1.0,4.0,22286.0,10,100.0,1,1
44236966,352412571,0.0,1,1,Edogawa Ku,35.70517,139.84199,Private room,4,1 shared bath,1.0,4.0,2300.0,10,98.0,0,1
44237458,356240777,16.0,1,1,Taito Ku,35.71394,139.79236,Entire home/apt,6,1 bath,1.0,0.0,10714.0,22,95.0,1,1
